,Name,RA,Dec,MajAx,MinAx,PosAng,M,NGC,IC,Common names
333,IC0322,03:26:00.47,+03:40:50.0,0.76,0.38,6.0,,,,
334,IC0323,03:29:33.55,+41:51:18.3,,,,,,,
335,IC0324,03:26:28.29,-21:21:19.1,,,,,1331,,
336,IC0325,03:30:48.86,-07:02:48.2,0.83,0.74,80.0,,,,
337,IC0326,03:30:36.61,-14:25:32.0,1.13,0.84,101.0,,,,
338,IC0327,03:31:09.98,-14:41:31.7,0.8,0.47,70.0,,,,
339,IC0328,03:31:10.95,-14:38:16.3,0.67,0.48,16.0,,,,
340,IC0329,03:32:01.37,+00:16:46.0,1.0,0.48,63.0,,,,
341,IC0330,03:32:08.03,+00:21:12.2,1.02,0.32,73.0,,,,
342,IC0331,03:32:19.08,+00:16:57.2,0.91,0.91,105.0,,,,
343,IC0332,03:32:37.42,+01:22:57.2,0.97,0.5,44.0,,,,
344,IC0333,03:34:03.38,-04:35:05.6,,,,,,,
345,IC0334,03:45:17.08,+76:38:17.9,2.34,1.85,58.0,,,,
346,IC0335,03:35:31.04,-34:26:49.4,2.62,0.8,83.0,,,1963,
347,IC0336,03:37:57.04,+23:21:47.3,,,,,,,
348,IC0337,03:37:04.30,-06:43:16.3,,,,,,,
349,IC0338,03:37:38.10,+03:07:07.6,0.84,0.68,176.0,,,,
350,IC0339,03:38:02.23,-18:23:52.0,,,,,,,
351,IC0340,03:39:29.11,-13:06:54.4,1.61,0.58,90.0,,,,
352,IC0341,03:40:55.69,+21:57:36.7,134.9,,,,,,
353,IC0342,03:46:48.50,+68:05:46.9,19.77,18.79,0.0,,,,
354,IC0343,03:40:07.14,-18:26:36.5,1.51,0.66,113.0,,,,
355,IC0344,03:41:29.53,-04:39:57.1,0.89,0.47,42.0,,,,
356,IC0345,03:41:09.13,-18:18:50.9,0.88,0.73,37.0,,,,
357,IC0346,03:41:44.66,-18:16:01.1,1.95,1.47,69.0,,,,
